Slug,FactID,File,HostedUrl
coffinbell-tall-2,HAL-005,carousels/coffinbell/tall-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/a908e6c7-5d23-4584-abcf-95fbb8e9116f.jpg
coffinbell-tall-3,HAL-005,carousels/coffinbell/tall-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/99ae7802-fdb9-491e-b9b2-9ecb72d5f1d0.jpg
coffinbell-tall-4,HAL-005,carousels/coffinbell/tall-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1765f28a-792c-447a-b0a0-dbef8c507631.jpg
coffinbell-tall-5,HAL-005,carousels/coffinbell/tall-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/9dafca5a-2d41-4075-84fd-fae56f04e87b.jpg
lugnano-slide-1,HAL-018,carousels/lugnano/slide-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/cf1cd074-5652-4ef8-8891-bd386ef9e100.jpg
lugnano-slide-2,HAL-018,carousels/lugnano/slide-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/54d2e326-3473-4bf7-8ce2-bec709e9c861.jpg
lugnano-slide-3,HAL-018,carousels/lugnano/slide-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d44f5db2-084f-4ea9-ad65-c6911e83ac3b.jpg
lugnano-slide-4,HAL-018,carousels/lugnano/slide-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/48fe21b4-258e-4023-9e00-5aced31b2672.jpg
lugnano-slide-5,HAL-018,carousels/lugnano/slide-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ba172bf0-31f0-4e98-babc-ed15f5f710d2.jpg
lugnano-tall-1,HAL-018,carousels/lugnano/tall-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8dcc656b-66be-4ce4-b13a-17491469037f.jpg
lugnano-tall-2,HAL-018,carousels/lugnano/tall-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/c585fab5-93e0-45ab-9074-0c22448f18c0.jpg
lugnano-tall-3,HAL-018,carousels/lugnano/tall-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/78cbe062-af1e-46eb-b424-20d34dfe80b4.jpg
lugnano-tall-4,HAL-018,carousels/lugnano/tall-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/341b0131-6949-4f81-b3e5-b31aa7ea7106.jpg
lugnano-tall-5,HAL-018,carousels/lugnano/tall-5.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/f836f8a0-31ad-46b9-9ade-af1ac0d4d511.jpg
trailer-slide-1,TRL-001,carousels/trailer/slide-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1386e04e-cf56-4d77-8186-9990635babe7.jpg
trailer-slide-2,TRL-001,carousels/trailer/slide-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7ff03625-3bd0-49d2-a10b-610851fc722d.jpg
trailer-slide-3,TRL-001,carousels/trailer/slide-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b9b3f652-e976-4278-b97d-871647193d7d.jpg
trailer-slide-4,TRL-001,carousels/trailer/slide-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/45076ed0-4bfe-4c36-a122-a92c9a4970a1.jpg
trailer-tall-1,TRL-001,carousels/trailer/tall-1.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/0c52ebf5-3b79-4f8e-b7c7-6b50a2fa2e4c.jpg
trailer-tall-2,TRL-001,carousels/trailer/tall-2.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d0b01934-57f1-4186-8225-b3f7ab988c2a.jpg
trailer-tall-3,TRL-001,carousels/trailer/tall-3.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7e46d5a7-abe7-4fae-af38-8602f61bbf24.jpg
trailer-tall-4,TRL-001,carousels/trailer/tall-4.jpg,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/fc4275c4-dc01-4e83-a579-356b9370b2a5.jpg
