Action,BlotatoId,SlotUTC,Platform,AccountId,Fact,Plate,Reason,MediaUrl
DELETE,4231109,2026-09-15T20:00:00.000Z,tiktok,41488,hocus,hocus,hocus: ran 2 days after 4189711. The guessed fact label split 1 fact into 2 and the label based pass missed it. Caught by a text similarity sweep.,
ADD,4237033,2026-09-09T14:30:00.000Z,youtube,36129,samhain,samhain,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/cb8ece67-05e0-4138-aa55-0b2e702dbe7f.mp4
ADD,4237035,2026-09-11T14:30:00.000Z,youtube,36129,trackA-hal-004,trackA-hal-004,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/61382cad-b1e8-4107-a772-9de73c36ced3.mp4
ADD,4237036,2026-09-12T14:30:00.000Z,youtube,36129,trackA-hal-020,trackA-hal-020,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1c247fa9-edeb-48aa-a2fe-298efe46722e.mp4
ADD,4237045,2026-09-13T14:30:00.000Z,youtube,36129,samhain,samhain,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/cb8ece67-05e0-4138-aa55-0b2e702dbe7f.mp4
ADD,4237049,2026-09-13T20:20:00.000Z,youtube,36129,trackA-hal-007,trackA-hal-007,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/2acb99e6-c069-4ece-980d-9ed0569ca477.mp4
ADD,4237082,2026-09-14T15:00:00.000Z,tiktok,41488,trackA-hal-003,trackA-hal-003,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/d135e026-db63-432e-8f91-4613e186b251.mp4
ADD,4237052,2026-09-14T17:20:00.000Z,youtube,36129,trickortreat,trickortreat,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e3ff6b99-2576-438d-973b-a86376d44dee.mp4
ADD,4237058,2026-09-14T20:20:00.000Z,youtube,36129,snick,snick,refill to hold 3 a day after the thin (3 day gap fallback),https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/7dbd793c-0fe3-47e5-8efa-a07d0d371c2b.mp4
ADD,4237078,2026-09-15T14:00:00.000Z,facebook,30840,coffinbell,coffinbell,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e6925be5-2d88-43a6-90e3-08e17f88bbca.mp4
ADD,4237253,2026-09-15T20:00:00.000Z,tiktok,41488,trackA-hal-007,trackA-hal-007,"replaces 4231109, which ran Hocus Pocus 2 days after 4189711",d8b320d3
ADD,4237070,2026-09-16T14:30:00.000Z,youtube,36129,afraidark,afraidark,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/24b21333-ca41-4507-9272-9ce711669ae6.mp4
ADD,4237073,2026-09-16T17:20:00.000Z,youtube,36129,trackA-hal-004,trackA-hal-004,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/61382cad-b1e8-4107-a772-9de73c36ced3.mp4
ADD,4237076,2026-09-17T14:30:00.000Z,youtube,36129,casper,casper,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8106a27f-60d0-41ba-a7fc-d06815dfc0fb.mp4
ADD,4237084,2026-09-17T15:00:00.000Z,tiktok,41488,trackA-hal-004,trackA-hal-004,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/61382cad-b1e8-4107-a772-9de73c36ced3.mp4
ADD,4237077,2026-09-17T17:20:00.000Z,youtube,36129,trackA-hal-006,trackA-hal-006,refill to hold 3 a day after the thin,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/4b3c1214-d19b-42ca-b959-a5e6715aadda.mp4
